OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00001,3016,1580,627,1146,3204,2975,9111,6327,3401,5729,2227,3839,3907,839,1595,1191,2092,2305,2031,1821,4151,5054,4384,2885,3692,3251,4329,3545,1166,235,657,144
CL00003,669,329,153,244,706,664,2003,1318,587,995,406,762,840,270,351,348,511,644,618,538,1167,1527,1446,895,1104,947,1230,1018,366,92,178,58
CL00007,271,697,2,400,43,76,1997,572,500,481,312,461,0,16,32,87,514,543,1412,577,56,264,834,458,358,602,652,1001,61,16,68,48
CL00008,27,166,49,885,1,76,50,476,536,836,170,590,4,52,857,27,791,1049,619,307,3,54,111,321,570,1046,490,2347,118,92,634,36
CL00012,46,27,18,223,1,1,232,27,4,371,59,58,6028,7,179,10,62,110,12,43,24,103,13,15,32,75,0,31,0,0,52,2
CL00017,125,447,13,1205,0,1,0,5,107,17,36,21,19,436,286,316,1235,488,921,647,0,4,15,8,48,86,368,34,117,241,239,114
CL00018,0,0,6878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00029,38,33,0,1033,10,12,51,85,31,482,17,19,46,134,123,10,265,108,38,154,224,175,1488,187,151,108,60,262,114,58,40,14
CL00030,0,1,0,0,0,0,0,0,0,0,11,2605,0,0,0,0,0,1710,0,0,0,0,0,0,1148,0,1,0,0,0,0,0
CL00033,0,1491,0,0,0,0,0,0,1,0,142,602,0,0,0,0,16,3162,0,0,0,0,0,0,404,7,29,0,0,0,0,0
CL00034,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,14,1,0,8,0,25,0,0,0,4600,14,0
CL00043,23,40,1,50,0,0,0,0,18,0,0,1,38,429,163,279,627,137,81,214,0,0,0,0,11,0,127,0,1025,265,753,301
CL00048,44,62,22,399,4,75,0,58,34,37,40,17,9,46,236,10,260,397,935,354,18,373,162,69,67,121,319,25,8,0,180,13
CL00050,2,1,0,2,20,1,13,56,234,108,27,2,191,922,134,270,0,2,8,0,9,26,1,29,59,46,231,16,262,165,582,69
CL00058,0,0,0,0,0,0,0,0,3,0,108,2665,0,0,0,0,0,37,0,0,0,0,0,0,54,0,0,0,0,0,0,0
CL00062,0,0,0,0,19,23,964,158,10,7,9,93,0,0,19,1,0,4,0,0,124,239,312,322,549,29,207,250,0,0,0,0
CL00063,0,1,0,10,0,1,0,1,23,8,1,1,52,3,0,2412,0,2,0,0,5,1,37,22,7,0,19,26,153,33,9,20
CL00068,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00069,0,0,0,0,1,47,5,0,0,1977,0,0,0,0,0,0,5,0,0,0,176,12,67,66,53,15,0,0,0,0,0,0
CL00074,0,2,0,4,0,0,1,17,37,666,4,0,0,229,568,141,35,11,39,6,0,0,0,34,0,12,55,11,116,35,415,63
CL00081,0,0,0,0,5,0,0,5,61,6,12,8,35,419,41,720,0,0,0,2,0,0,0,13,21,109,36,2,86,88,37,582
CL00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575,0,0,0,0,0,0
CL00088,0,0,326,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,1509,0,0,0,0,0,0,0,0,0,0,0,0
CL00093,0,0,0,0,0,16,23,27,0,12,0,0,0,0,0,0,0,0,0,0,885,69,52,76,137,0,0,970,0,0,0,0
CL00094,44,86,3,258,0,0,0,1,32,2,12,17,3,163,55,89,403,162,317,232,0,4,3,4,15,31,119,21,35,119,103,39
CL00097,1,30,0,0,9,21,225,322,61,36,14,60,0,0,1,0,0,115,3,2,148,146,314,293,172,19,60,60,0,0,1,0
CL00099,0,0,0,0,0,0,0,0,0,0,0,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00110,0,0,0,0,0,37,0,7,14,64,2,9,63,142,151,82,0,0,0,0,1,1,21,6,44,44,108,252,105,166,361,53
CL00111,11,231,0,71,150,203,160,84,27,26,23,79,0,0,0,0,0,18,5,20,184,98,42,96,7,92,19,0,0,0,0,0
CL00113,0,0,9,0,6,14,14,0,12,10,28,0,18,110,146,103,1,11,15,11,35,73,220,28,32,50,44,1,98,340,13,186
CL00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820,0,0,0,0,0,0
CL00119,0,0,0,0,0,0,0,0,0,0,0,0,2,14,10,26,0,0,0,0,0,0,5,7,0,0,0,0,1296,189,55,39
CL00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CL00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1407,0,0,0,0,0,0,0,0,0,0
CL00129,0,0,0,1,0,3,0,3,5,0,0,12,0,0,20,0,12,0,0,0,4,430,2,33,52,10,841,18,0,0,1,0
CL00137,0,0,0,0,1,0,0,0,7,1112,0,1,0,0,0,0,0,0,0,0,0,4,8,0,48,8,5,27,0,0,0,0
CL00138,25,56,0,31,0,3,0,46,92,151,40,69,0,0,0,0,5,111,191,27,0,10,3,14,76,69,175,196,0,0,0,0
CL00139,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,600,0,0,0,0,0,4,0,0,0,147,825,0,0,0,0
CL00142,51,36,14,54,0,0,0,0,0,0,1,0,4,125,13,103,462,82,249,77,0,0,0,0,0,0,0,0,92,58,17,5
CL00147,4,22,17,0,20,10,3,3,4,54,3,24,47,131,6,32,75,34,0,2,17,74,139,35,40,26,27,197,97,79,15,16
CL00149,0,0,0,3,12,132,54,46,0,55,0,3,0,9,0,0,0,0,0,0,94,145,446,166,3,0,5,97,0,1,0,0
CL00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334,0,0,0
CL00153,0,0,0,0,1,177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,157,12,952,0,0,0,0,0,0,0,0
CL00161,0,0,0,0,0,0,0,0,0,0,1,0,1,227,0,45,0,0,0,0,0,0,0,0,0,3,8,0,357,387,0,69
CL00162,0,4,15,0,6,29,11,62,7,90,2,16,16,119,8,15,52,8,17,18,43,33,39,81,28,2,8,99,100,183,0,42
CL00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,90,0
CL00174,0,0,0,6,0,0,3,6,3,83,589,104,0,0,0,0,0,0,0,0,5,66,9,1,16,0,0,1,0,0,0,0
CL00178,24,2,5,92,0,0,0,0,0,0,0,2,32,0,70,168,112,5,21,199,0,0,0,0,0,0,0,0,74,0,318,29
CL00182,0,0,0,0,0,0,0,0,465,0,34,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,413,0
CL00183,0,12,3,13,0,0,0,0,0,0,0,0,9,45,2,6,185,60,559,115,0,0,0,3,0,8,0,0,148,35,0,28
CL00189,38,72,32,118,0,5,3,6,24,5,15,4,12,0,0,15,260,119,88,115,6,2,40,1,11,4,19,15,95,0,0,1
CL00191,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0
CL00194,39,122,292,72,0,0,0,0,0,10,30,99,0,0,6,0,2,6,0,18,0,0,0,0,49,43,7,204,0,0,35,0
